"92.10 Gemeentecode","92.11 Omschrijving","92.12 Nieuwe code","99.98 Datum ingang","99.99 Datum einde"
"0486","Ammerstol","0491","","19850101",""
"0198","Ammerzoden","0263","","19990101",""
"0362","Amstelveen","","19640101","",""
"0884","Amstenrade","0962","","19820101",""
"0363","Amsterdam","","","",""
"0742","Andel","0874","","19730101",""
"0364","Andijk","0420","","20110101",""
"0199","Angerlo","0299","","20050101",""
"1014","Ankeveen","0390","","19660801",""
"0105","Anloo","1680","","19980101",""
"0366","Anna Paulowna","1911","18700718","20120101",""
"0200","Apeldoorn","","","",""
"0201","Appeltern","0290","","19840101",""
"0003","Appingedam","","","",""
"0885","Arcen en Velden","0983","","20100101",""
"0487","Arkel","0689","","19860101",""
"0649","Arnemuiden","0687","","19970101",""
"0202","Arnhem","","","",""
"0488","Asperen","0287","","19860101",""
"0106","Assen","","","",""
"0367","Assendelft","0479","","19740101",""
"0743","Asten","","","",""
"0368","Avenhorn","0558","","19790101",""
"0143","Avereest","0160","","20010101",""
"0650","Axel","0715","","20030101",""
"0061","Baarderadeel","0103","","19840101",""
"1015","Baardwijk","0867","","19220101",""
"0651","Baarland","0654","","19700101",""
"0744","Baarle-Nassau","","","",""
"0308","Baarn","","","",""
"0886","Baexem","0920","","19910101",""
"0004","Baflo","0053","","19900101",""
"0745","Bakel en Milheeze","1652","","19970101",""
"1016","Balgoij","0271","","19230501",""
"1246","Bangert","0498","19790101","19800101",""
"0489","Barendrecht","","18860101","",""
"0203","Barneveld","","","",""
"0062","Barradeel","0070","","19840101",""
"0369","Barsingerhorn","0412","","19900101",""
"1017","Barwoutswaarder","0632","","19640201",""
"0204","Batenburg","0296","","19840101",""
"1018","Bath","0702","","18780101",""
"0144","Bathmen","0150","","20050101",""
"0005","Bedum","","","",""
"0887","Beegden","1937","","19910101",""
"0888","Beek","","","",""
"1247","Beek (NB)","0832","19420101","19510101",""
"0746","Beek en Donk","1659","","19970101",""
"0370","Beemster","","","",""
"0747","Beers","1684","","19940101",""
"0006","Beerta","1661","","19910701",""
"0205","Beesd","0236","","19780101",""
"0889","Beesel","","","",""
"0371","Beets","0478","","19700801",""
"0107","Beilen","1697","","19980101",""
"0890","Belfeld","0983","","20010101",""
"0007","Bellingwedde","","19680101","",""
"1019","Bellingwolde","0007","","19680901",""
"0891","Bemelen","0936","","19820101",""
"0206","Bemmel","1705","","20030101",""
"0372","Bennebroek","0377","","20090101",""
"0309","Benschop","0331","","19890101",""
"1305","Benthorn","0490","","18460101",""
"0490","Benthuizen","0646","","19910101",""
"1945","Berg en Dal","","20160101","",""
"0892","Berg en Terblijt","0994","","19820101",""
"0491","Bergambacht","1931","","20150101",""
"1724","Bergeijk","","19990101","",""
"0893","Bergen (L)","","","",""
"0373","Bergen (NH)","","","",""
"0748","Bergen op Zoom","","","",""
"0749","Bergeyk","1724","","19990101",""
"0207","Bergh","1955","","20050101",""
"0208","Bergharen","0296","","19840101",""
"0750","Berghem","0828","","19940101",""
"0492","Bergschenhoek","1621","","20070101",""
"0493","Berkel en Rodenrijs","1621","","20070101",""
"0751","Berkel-Enschot","0855","","19970101",""
"1859","Berkelland","","20050101","",""
"1306","Berkenrode","0397","","18580101",""
"0494","Berkenwoude","0491","","19850101",""
"0374","Berkhout","0558","","19790101",""
"0752","Berlicum","0845","","19960101",""
"1721","Bernheze","","19950128","",""
"0568","Bernisse","1930","19800101","20150101",""
"1020","Besoijen","0867","","19290101",""
"0753","Best","","","",""
"1021","Beugen en Rijkevoort","0756","","19420501",""
"0209","Beuningen","","","",""
"0210","Beusichem","0214","","19780101",""
"0375","Beverwijk","","","",""
"1307","Biert","0509","","18550901",""
"0008","Bierum","0010","","19900101",""
"0652","Biervliet","0715","","19700401",""
"1308","Biesland","1215","","18330101",""
"1022","Biggekerke","0720","","19660701",""
"1309","Bijlmermeer","1221","","18460101",""
"0894","Bingelrade","0963","","19820101",""
"0585","Binnenmaas","","19840101","",""
"1728","Bladel","","19970101","",""
"0754","Bladel en Netersel","1728","","19970101",""
"0145","Blankenham","0195","","19730101",""
"0376","Blaricum","","","",""
"0495","Bleiswijk","1621","","20070101",""
"1262","Bleskensgraaf","0496","","18550901",""
"0496","Bleskensgraaf en Hofwegen","0693","","19860101",""
"0377","Bloemendaal","","","",""
"0378","Blokker","0405","","19790101",""
"0146","Blokzijl","0194","","19730101",""
"0055","Boarnsterhim","0080","19850103","20140101",""
"0895","Bocholtz","0965","","19820101",""
"0497","Bodegraven","1901","","20110101",""
"1901","Bodegraven-Reeuwijk","","20110101","",""
"0755","Boekel","","","",""
"1023","Bokhoven","0774","","19220101",""
"0064","Bolsward","1900","","20110101",""
"1025","Bommenede","1236","","18650101",""
"0057","Boornsterhem","0055","19840101","19850103",""
"0211","Borculo","1859","","20050101",""
"0108","Borger","1681","","19980101",""
"1681","Borger-Odoorn","","19980101","",""
"0896","Borgharen","0935","","19700701",""
"1026","Borkel en Schaft","0858","","19340501",""
"0897","Born","1883","","20010101",""
"0147","Borne","","","",""
"0654","Borsele","","19700101","",""
"1254","Borssele","0654","","19700101",""
"1027","Boschkapelle","0719","","19360701",""
"0499","Boskoop","0484","","20140101",""
"0379","Bovenkarspel","0532","","19790101",""
"0756","Boxmeer","","","",""
"0757","Boxtel","","","",""
"0212","Brakel","0297","","19990101",""
"0500","Brandwijk","0693","","19860101",""
"0758","Breda","","","",""
"0194","Brederwiede","0181","19730101","20010101",""
"0655","Breskens","0692","","19700401",""
"0311","Breukelen","1904","19490101","20110101",""
"1028","Breukelen-Nijenrode","0311","","19490101",""
"1029","Breukelen-Sint Pieters","0311","","19490101",""
"0501","Brielle","","","",""
"1030","Broek","0627","","18700701",""
"0380","Broek in Waterland","0852","","19910101",""
"1031","Broek op Langendijk","0416","","19410801",""
"0898","Broekhuizen","1507","","20010101",""
"1032","Broeksittard","0968","","19421001",""
"1876","Bronckhorst","","20050101","",""
"0656","Brouwershaven","1676","","19970101",""
"0657","Bruinisse","1676","","19970101",""
"0213","Brummen","","","",""
"0899","Brunssum","","","",""
"0759","Budel","1706","","19980128",""
"1033","Buggenum","0914","","19421001",""
"1034","Buiksloot","0363","","19210101",""
"0998","Buitenland (Niet GBA)","","","19901001",""
"0900","Bunde","0938","","19820101",""
"0312","Bunnik","","","",""
"0313","Bunschoten","","","",""
"0214","Buren","","","",""
"1035","Burgh","0725","","19610101",""
"0381","Bussum","1942","","20160101",""
"0215","Buurmalsen","0236","","19780101",""
"1310","Cabauw","1226","","18570908",""
"0901","Cadier en Keer","0936","","19820101",""
"0658","Cadzand","0692","","19700401",""
"0382","Callantsoog","0476","","19900101",""
"1036","Capelle","0849","","19230101",""
"0502","Capelle aan den IJssel","","","",""
"0383","Castricum","","","",""
"0997","Centraal Persoonsregister (Niet GBA)","","","19901001",""
"0760","Chaam","1723","","19970101",""
"1037","Charlois","0599","","18950228",""
"1311","Cillaarshoek","0554","","18320101",""
"0659","Clinge","0677","","19700401",""
"0109","Coevorden","","","",""
"1038","Colijnsplaat","0682","","19410401",""
"0314","Cothen","0352","","19960101",""
"1706","Cranendonck","","19980128","",""
"0611","Cromstrijen","","19840101","",""
"1039","Cromvoirt","0865","","19330101",""
"1684","Cuijk","","19940101","",""
"0761","Cuijk en Sint Agatha","1684","","19940101",""
"0216","Culemborg","","","",""
"0110","Dalen","0109","","19980101",""
"0148","Dalfsen","","","",""
"0065","Dantumadeel","1891","","20090101",""
"1891","Dantumadiel","","20090101","",""
"1312","Darthuizen","0326","","18570908",""
"0310","De Bilt","","","",""
"1921","De Friese Meren","1940","20140101","20150701",""
"1940","De Fryske Marren","","20150701","",""
"0552","De Lier","1783","","20040101",""
"1663","De Marne","","19920101","",""
"1345","De Mijl","0507","","18570131",""
"1404","de Noordoostelijke Polder","0171","","19620701",""
"0440","De Rijp","0365","","19700801",""
"0736","De Ronde Venen","","19890101","",""
"1385","De Vennip","0534","","18550815",""
"1392","de Vuursche","0308","","18571201",""
"1222","de Werken en Sleeuwijk","0870","","19501001",""
"0135","de Wijk","1690","","19980101",""
"1690","De Wolden","","19980101","",""
"0217","Deil","0236","","19780101",""
"1040","Delfshaven","0599","","18860114",""
"0503","Delft","","","",""
"0010","Delfzijl","","","",""
"1024","Den Bommel","0580","","19660101",""
"0768","Den Dungen","0845","","19960101",""
"0159","Den Ham","0186","","20010101",""
"0400","Den Helder","","","",""
"0149","Denekamp","1774","","20020601",""
"0762","Deurne","","19260101","",""
"1041","Deurne en Liessel","0762","","19260101",""
"1042","Deursen en Dennenburg","0835","","19230501",""
"0150","Deventer","","","",""
"0218","Didam","1955","","20050101",""
"1043","Dieden, Demen en Langel","0835","","19230501",""
"0384","Diemen","","","",""
"0151","Diepenheim","1735","","20010101",""
"0152","Diepenveen","0150","","19990101",""
"0763","Diessen","0798","","19970101",""
"0111","Diever","1701","","19980101",""
"1774","Dinkelland","","20020601","",""
"0764","Dinteloord en Prinsenland","0851","","19970101",""
"1044","Dinther","0792","","19690101",""
"0219","Dinxperlo","0197","","20050101",""
"0504","Dirksland","1924","","20130101",""
"0220","Dodewaard","0258","","20020101",""
"0221","Doesburg","","","",""
"0222","Doetinchem","","19200101","",""
"0066","Dokkum","0058","","19840101",""
"0660","Domburg","0717","","19970101",""
"1045","Dommelen","0858","","19340501",""
"0766","Dongen","","","",""
"0058","Dongeradeel","","19840101","",""
"0067","Doniawerstal","0139","","19840101",""
"0315","Doorn","1581","","20060101",""
"0223","Doornspijk","0230","","19740801",""
"1046","Doorwerth","0274","","19230501",""
"0505","Dordrecht","","","",""
"1313","Dorth","0239","","18310701",""
"0498","Drechterland","","19800101","",""
"1047","Dreischor","0656","","19610101",""
"0224","Dreumel","0290","","19840101",""
"1048","Driebergen","0316","","19310501",""
"0316","Driebergen-Rijsenburg","1581","19310501","20060101",""
"0506","Driebruggen","0595","19640201","19890101",""
"1248","Driel","0263","","19440801",""
"0661","Driewegen","0654","","19700101",""
"1719","Drimmelen","","19980425","",""
"1049","Drongelen","0771","","19230501",""
"1263","Drongelen, Hangoort,Gansoyen en Doeveren","1049","","19080801",""
"0303","Dronten","","19720101","",""
"0767","Drunen","0797","","19970101",""
"0225","Druten","","","",""
"0507","Dubbeldam","0505","","19700701",""
"1314","Duist","0320","","18570908",""
"0662","Duiveland","1676","19610101","19970101",""
"0226","Duiven","","","",""
"1050","Duivendijke","0688","","19610101",""
"1051","Duizel en Steensel","0770","","19230101",""
"0769","Dussen","0870","","19970101",""
"1264","Dussen, Munster en Muilkerk","0769","","19080801",""
"0112","Dwingeloo","1701","","19980101",""
"0902","Echt","1711","","20030101",""
"0227","Echteld","0258","","20020101",""
"1711","Echt-Susteren","","20030101","",""
"1315","Edam","0385","","19750101",""
"0385","Edam-Volendam","","19750101","",""
"0228","Ede","","","",""
"1052","Eede","0648","","19410401",""
"0113","Eelde","0136","","19980101",""
"0317","Eemnes","","","",""
"1651","Eemsmond","","19920101","",""
"0011","Eenrum","0045","","19900101",""
"0770","Eersel","","","",""
"0771","Eethen","0738","19230501","19730101",""
"1255","Eethen, Genderen en Heesbeen","1060","","19080801",""
"0357","Egmond","0373","19780701","20010101",""
"0386","Egmond aan Zee","0357","","19780701",""
"0387","Egmond-Binnen","0357","","19780701",""
"0229","Eibergen","1859","","20050101",""
"0905","Eijsden","1903","","20110101",""
"1903","Eijsden-Margraten","","20110101","",""
"0772","Eindhoven","","","",""
"0230","Elburg","","","",""
"1053","Elkerzee","0688","","19610101",""
"1054","Ellemeet","0688","","19610101",""
"0663","Ellewoutsdijk","0654","","19700101",""
"0903","Elsloo","0971","","19820101",""
"0231","Elst","1734","","20010101",""
"1055","Elten","","19490423","19630801",""
"0114","Emmen","","","",""
"1056","Emmikhoven en Waardhuizen","0740","","18790715",""
"0773","Empel en Meerwijk","0796","","19710401",""
"0774","Engelen","0796","","19710401",""
"0388","Enkhuizen","","","",""
"0153","Enschede","","","",""
"0232","Epe","","","",""
"0233","Ermelo","","","",""
"0775","Erp","0860","","19940101",""
"0776","Esch","0788","","19960101",""
"1057","Escharen","0786","","19420701",""
"0234","Est en Opijnen","0304","","19780101",""
"1316","Etersheim","0430","","18480101",""
"1251","Etten en Leur","0777","","19680101",""
"0777","Etten-Leur","","19680101","",""
"0508","Everdingen","0620","","19860101",""
"0235","Ewijk","0209","","19800701",""
"0904","Eygelshoven","0928","","19820101",""
"0012","Ezinge","0053","","19900101",""
"0068","Ferwerderadeel","1722","","19990101",""
"1722","Ferwerderadiel","","19990101","",""
"0778","Fijnaart en Heijningen","0878","","19970101",""
"0013","Finsterwolde","0006","","19900101",""
"0069","Franeker","0070","","19840101",""
"0070","Franekeradeel","","","",""
"0071","Gaasterland","0653","","19850605",""
"0653","Gaasterlân-Sleat","1921","19850605","20140101",""
"1058","Gameren","0257","","19550701",""
"1317","Gapinge","1214","","18571002",""
"1059","Gassel","0747","","19420801",""
"0115","Gasselte","1680","","19980101",""
"0779","Geertruidenberg","","","",""
"0509","Geervliet","0568","","19800101",""
"0780","Geffen","1671","","19930101",""
"0236","Geldermalsen","","","",""
"0781","Geldrop","1771","","20040101",""
"1771","Geldrop-Mierlo","","20040101","",""
"0906","Geleen","1883","","20010101",""
"0782","Gemert","1652","","19970101",""
"1652","Gemert-Bakel","","19970101","",""
"1060","Genderen","0771","19080801","19230501",""
"0237","Gendringen","1509","","20050101",""
"0238","Gendt","0206","","20010101",""
"0154","Genemuiden","1896","","20010101",""
"0907","Gennep","","","",""
"1318","Gerverscop","0318","","18570908",""
"1061","Gestel en Blaarthem","0772","","19200101",""
"0908","Geulle","0938","","19820101",""
"0783","Giessen","0874","","19730101",""
"0510","Giessenburg","0689","19570101","19860101",""
"1063","Giessendam","0523","","19570101",""
"0689","Giessenlanden","","19860101","",""
"1062","Giessen-Nieuwkerk","0510","","19570101",""
"0116","Gieten","1680","","19980101",""
"0155","Giethoorn","0194","","19730101",""
"0784","Gilze en Rijen","","","",""
"1064","Ginneken en Bavel","0817","","19420101",""
"0511","Goedereede","1924","","20130101",""
"1924","Goeree-Overflakkee","","20130101","",""
"0664","Goes","","","",""
"1319","Goidschalxoord","0528","","18550901",""
"0785","Goirle","","","",""
"1942","Gooise Meren","","20160101","",""
"0156","Goor","1735","","20010101",""
"0512","Gorinchem","","","",""
"0239","Gorssel","0262","","20050101",""
"0513","Gouda","","","",""
"0514","Gouderak","0644","","19850101",""
"0515","Goudriaan","0693","","19860101",""
"0516","Goudswaard","0588","","19840101",""
"0693","Graafstroom","1927","19860101","20130101",""
"0665","Graauw en Langendam","0677","","19700401",""
"1065","Grafhorst","0191","","19370101",""
"0389","Graft","0365","","19700801",""
"0365","Graft-De Rijp","0361","19700801","20150101",""
"0157","Gramsbergen","0160","","20010101",""
"0909","Grathem","0920","","19910101",""
"0786","Grave","","","",""
"0910","Grevenbicht","0897","","19820101",""
"0016","Grijpskerk","0056","","19900101",""
"1067","Grijpskerke","0686","","19660701",""
"0667","Groede","0692","","19700401",""
"1322","Groeneveld","1082","","18550901",""
"0240","Groenlo","1586","","20060519",""
"0241","Groesbeek","1945","","20160101",""
"1323","Groet","0444","","18340101",""
"0014","Groningen","","","",""
"0911","Gronsveld","0905","","19820101",""
"0520","Groot-Ammers","0694","","19860101",""
"1066","Groote Lindt","0642","","18810906",""
"0391","Grootebroek","0532","","19790101",""
"0015","Grootegast","","","",""
"1324","Grosthuizen","0368","","18540531",""
"0912","Grubbenvorst","1507","","20010101",""
"0913","Gulpen","1729","","19990101",""
"1729","Gulpen-Wittem","","19990101","",""
"0242","Haaften","0304","","19780101",""
"0158","Haaksbergen","","","",""
"1068","Haamstede","0725","","19610101",""
"0788","Haaren","","","",""
"0392","Haarlem","","","",""
"1325","Haarlemmerliede","0393","","18570908",""
"0393","Haarlemmerliede en Spaarnwoude","","18570101","",""
"0394","Haarlemmermeer","","18550101","",""
"1069","Haarzuilens","0347","","19540101",""
"0521","Haastrecht","0623","","19850101",""
"0914","Haelen","1640","","20070101",""
"0522","Hagestein","0620","","19860101",""
"1655","Halderberge","","19970101","",""
"0789","Halsteren","0748","","19970101",""
"0790","Haps","1684","","19940101",""
"0160","Hardenberg","","19410501","",""
"0243","Harderwijk","","","",""
"1070","Hardinxveld","0523","","19570101",""
"0523","Hardinxveld-Giessendam","","19570101","",""
"0017","Haren","","","",""
"0395","Harenkarspel","0441","","20130101",""
"0072","Harlingen","","","",""
"0318","Harmelen","0632","","20010101",""
"0073","Haskerland","0139","","19840101",""
"0161","Hasselt","1896","","20010101",""
"0244","Hattem","","","",""
"0117","Havelte","1701","","19980101",""
"0524","Hazerswoude","0646","","19910101",""
"0245","Hedel","0263","","19990101",""
"1071","Hedikhuizen","0797","","19350501",""
"1937","Heel","1641","19910101","20070101",""
"0915","Heel en Panheel","1937","","19910101",""
"0396","Heemskerk","","","",""
"0397","Heemstede","","","",""
"0525","Heenvliet","0568","","19800101",""
"0916","Heer","0935","","19700701",""
"1327","Heer Oudelands Ambacht","1066","","18570819",""
"0246","Heerde","","","",""
"0074","Heerenveen","","19340701","",""
"0247","Heerewaarden","0263","","19990101",""
"0398","Heerhugowaard","","","",""
"0526","Heerjansdam","0642","","20030101",""
"0917","Heerlen","","","",""
"0791","Heesch","1721","","19950128",""
"1072","Heeswijk","0792","","19690101",""
"0792","Heeswijk-Dinther","0791","19690101","19940101",""
"0793","Heeze","1658","","19970101",""
"1658","Heeze-Leende","","19970101","",""
"0019","Hefshuizen","1651","19790101","19920101",""
"0527","Hei- en Boeicop","0707","","19860101",""
"1073","Heille","0713","","18800423",""
"0399","Heiloo","","","",""
"0528","Heinenoord","0585","","19840101",""
"0672","Heinkenszand","0654","","19700101",""
"0162","Heino","0177","","20010101",""
"1074","Hekelingen","0612","","19660501",""
"1075","Hekendorp","0506","","19640201",""
"0918","Helden","1894","","20100101",""
"0163","Hellendoorn","","","",""
"0530","Hellevoetsluis","","","",""
"0794","Helmond","","","",""
"0795","Helvoirt","0788","","19960101",""
"0075","Hemelumer Oldeferd","0104","19560101","19840101",""
"1260","Hemelumer Oldephaert en Noordwolde","0075","","19560101",""
"1076","Hemmen","0283","","19550701",""
"0531","Hendrik-Ido-Ambacht","","","",""
"0248","Hengelo (Gld)","1876","","20050101",""
"0164","Hengelo (O)","","","",""
"1077","Hengstdijk","0719","","19360701",""
"0076","Hennaarderadeel","0103","","19840101",""
"0401","Hensbroek","0429","","19790101",""
"1078","Herkingen","0504","","19660101",""
"1079","Herpen","0835","","19410401",""
"1080","Herpt","0797","","19350501",""
"0919","Herten","0957","","19910101",""
"0249","Herwen en Aerdt","0196","","19850101",""
"0250","Herwijnen","0287","","19860101",""
"0063","het Bildt","","","",""
"0251","Heteren","1734","","20010101",""
"0533","Heukelum","0287","","19860101",""
"0252","Heumen","","","",""
"0797","Heusden","","","",""
"0920","Heythuysen","1640","","20070101",""
"1081","Hillegersberg","0599","","19410801",""
"0534","Hillegom","","","",""
"0798","Hilvarenbeek","","","",""
"0402","Hilversum","","","",""
"0077","Hindeloopen","0104","","19840101",""
"1328","Hodenpijl","0607","","18550901",""
"0673","Hoedekenskerke","0654","","19700101",""
"0674","Hoek","0715","","19700401",""
"0319","Hoenkoop","0589","","19700901",""
"0921","Hoensbroek","0917","","19820101",""
"0253","Hoevelaken","0267","","20000101",""
"0799","Hoeven","1655","","19970101",""
"1082","Hof van Delft","0503","","19210101",""
"1735","Hof van Twente","","20010101","",""
"1329","Hofwegen","0496","","18550901",""
"1911","Hollands Kroon","","20120101","",""
"0165","Holten","0178","","20010101",""
"0675","Hontenisse","0677","","20030101",""
"0676","Hoofdplaat","0692","","19700401",""
"1330","Hoog en Woud Harnasch","1082","","18330101",""
"0535","Hoogblokland","0689","","19860101",""
"0801","Hooge en Lage Mierde","1667","","19970101",""
"0802","Hooge en Lage Zwaluwe","1665","","19970101",""
"0800","Hoogeloon, Hapert en Casteren","1728","","19970101",""
"0118","Hoogeveen","","","",""
"1331","Hoogeveen in Delfland","0577","","18320101",""
"1332","Hoogeveen in Rijnland","0490","","18550901",""
"1083","Hoogezand","0018","","19490401",""
"0018","Hoogezand-Sappemeer","","19490401","",""
"0403","Hoogkarspel","1246","","19790101",""
"1084","Hoogkerk","0014","","19690101",""
"0320","Hoogland","0307","","19740101",""
"1333","Hoogmade","0633","","18550917",""
"1085","Hoogvliet","0599","","19340501",""
"0404","Hoogwoud","0432","","19790101",""
"0405","Hoorn","","","",""
"0536","Hoornaar","0689","","19860101",""
"0922","Horn","0914","","19910101",""
"0254","Horssen","0225","","19840101",""
"0923","Horst","1507","","20010101",""
"1507","Horst aan de Maas","","20010101","",""
"0321","Houten","","","",""
"1086","Houthem","0982","","19401001",""
"1087","Houtrijk en Polanen","0393","","18630922",""
"0803","Huijbergen","0873","","19970101",""
"1088","Huisseling en Neerloon","0835","","19230501",""
"0255","Huissen","0206","","20010101",""
"0406","Huizen","","","",""
"0924","Hulsberg","0951","","19820101",""
"0677","Hulst","","","",""
"0256","Hummelo en Keppel","1876","","20050101",""
"0925","Hunsel","1640","","20070101",""
"1089","Hurwenen","0276","","19550701",""
"0078","Idaarderadeel","0057","","19840101",""
"0102","IJlst","0101","","19840101",""
"0195","IJsselham","0181","19730101","20010101",""
"1230","IJsselmonde","0599","","19410801",""
"0191","IJsselmuiden","0166","","20010101",""
"0353","IJsselstein","","","",""
"0730","IJzendijke","0692","","19700401",""
"1231","IJzendoorn","0227","","19230501",""
"0407","Ilpendam","0415","","19910101",""
"0926","Itteren","0935","","19700701",""
"1090","Ittervoort","0925","","19420701",""
"1091","Jaarsveld","0331","","19430101",""
"0927","Jabeek","0963","","19820101",""
"0645","Jacobswoude","1884","19910101","20090101",""
"0408","Jisp","0880","","19910101",""
"0322","Jutphaas","0356","","19710701",""
"1884","Kaag en Braassem","","20090101","",""
"1334","Kalslagen","0549","","18540531",""
"0323","Kamerik","0632","","19890101",""
"1335","Kamerik Houtdijken","0323","","18570908",""
"1336","Kamerik Mijzijde","0323","","18570908",""
"0166","Kampen","","","",""
"1092","Kamperveen","0191","","19370101",""
"0020","Kantens","0019","","19900101",""
"0678","Kapelle","","","",""
"1093","Katendrecht","1037","","18740101",""
"1094","Kats","0682","","19410401",""
"0679","Kattendijke","0664","","19700101",""
"0537","Katwijk","","","",""
"0409","Katwoude","0852","","19910101",""
"0538","Kedichem","0545","","19860101",""
"0928","Kerkrade","","","",""
"1095","Kerkwerve","0688","","19610101",""
"0257","Kerkwijk","0297","","19990101",""
"0929","Kessel","1894","","20100101",""
"0258","Kesteren","1740","","20030401",""
"1096","Kethel en Spaland","0606","","19410801",""
"1337","Kijfhoek","1066","","18570819",""
"0539","Klaaswaal","0611","","19840101",""
"1338","Kleine Lindt","0526","","18570613",""
"1339","Kleverskerke","0649","","18571002",""
"0930","Klimmen","0986","","19820101",""
"0680","Kloetinge","0664","","19700401",""
"0021","Kloosterburen","0045","","19900101",""
"0804","Klundert","0878","","19970101",""
"0324","Kockengen","0311","","19890101",""
"0410","Koedijk","0446","","19721001",""
"0681","Koewacht","0650","","19700401",""
"1598","Koggenland","","20070101","",""
"0079","Kollumerland en Nieuwkruisland","","","",""
"0411","Koog aan de Zaan","0479","","19740101",""
"0588","Korendijk","","19840101","",""
"1097","Kortenhoef","0390","","19660801",""
"0682","Kortgene","1695","","19950101",""
"1256","Koudekerk","0540","","19380101",""
"0540","Koudekerk aan den Rijn","0646","","19910101",""
"1098","Koudekerke","0720","","19660701",""
"0684","Krabbendijke","0703","","19700101",""
"1099","Kralingen","0599","","18950228",""
"0541","Krimpen aan de Lek","0643","","19850101",""
"0542","Krimpen aan den IJssel","","","",""
"1931","Krimpenerwaard","","20150101","",""
"0413","Krommenie","0479","","19740101",""
"0685","Kruiningen","0703","","19700101",""
"0167","Kuinre","0195","","19730101",""
"0414","Kwadijk","0478","","19700801",""
"1340","Laagblokland","0582","","18580101",""
"1100","Laag-Nieuwkoop","0324","","19420501",""
"1659","Laarbeek","","19970101","",""
"1685","Landerd","","19940101","",""
"0882","Landgraaf","","19820101","",""
"0415","Landsmeer","","","",""
"0325","Langbroek","0352","","19960101",""
"1101","Lange Ruige Weide","0506","","19640201",""
"0416","Langedijk","","19410801","",""
"0543","Langerak","0694","","19860101",""
"1621","Lansingerland","","20070101","",""
"0417","Laren","","","",""
"0259","Laren (Gld)","0262","","19710801",""
"0022","Leek","","","",""
"0805","Leende","1658","","19970101",""
"0023","Leens","0045","","19900101",""
"0544","Leerbroek","0707","","19860101",""
"0545","Leerdam","","","",""
"0326","Leersum","1581","","20060101",""
"0080","Leeuwarden","","","",""
"0081","Leeuwarderadeel","","","",""
"0546","Leiden","","","",""
"0547","Leiderdorp","","","",""
"0548","Leidschendam","1916","19380101","20020101",""
"1916","Leidschendam-Voorburg","","20020101","",""
"0549","Leimuiden","0645","","19910101",""
"0550","Lekkerkerk","0643","","19850101",""
"0995","Lelystad","","19800101","",""
"0082","Lemsterland","1921","","20140101",""
"1640","Leudal","","20070101","",""
"0327","Leusden","","","",""
"0551","Lexmond","0707","","19860101",""
"0260","Lichtenvoorde","0240","","20050101",""
"1673","Liemeer","0569","19940101","20070101",""
"0806","Liempde","0757","","19960101",""
"0261","Lienden","0214","","19990101",""
"1102","Lierop","0847","","19350501",""
"0807","Lieshout","1659","","19970101",""
"0694","Liesveld","1927","19860101","20130101",""
"0931","Limbricht","0968","","19820101",""
"0418","Limmen","0383","","20020101",""
"1103","Linden","0747","","19420801",""
"0733","Lingewaal","","19870103","",""
"1705","Lingewaard","","20030101","",""
"0932","Linne","0933","","19910101",""
